Date,Brazil_CreditGrowth_YoY_%,Brazil_Credit_Deviation_From_Trend_%,Brazil_DomCredit_PS,Chile_CreditGrowth_YoY_%,Chile_Credit_Deviation_From_Trend_%,Chile_DomCredit_PS,Colombia_CreditGrowth_YoY_%,Colombia_Credit_Deviation_From_Trend_%,Colombia_DomCredit_PS,Czech Republic_CreditGrowth_YoY_%,Czech Republic_Credit_Deviation_From_Trend_%,Czech Republic_DomCredit_PS,Hungary_CreditGrowth_YoY_%,Hungary_Credit_Deviation_From_Trend_%,Hungary_DomCredit_PS,India_CreditGrowth_YoY_%,India_Credit_Deviation_From_Trend_%,India_DomCredit_PS,Indonesia_CreditGrowth_YoY_%,Indonesia_Credit_Deviation_From_Trend_%,Indonesia_DomCredit_PS,Kuwait_CreditGrowth_YoY_%,Kuwait_Credit_Deviation_From_Trend_%,Kuwait_DomCredit_PS,Malaysia_CreditGrowth_YoY_%,Malaysia_Credit_Deviation_From_Trend_%,Malaysia_DomCredit_PS,Mexico_CreditGrowth_YoY_%,Mexico_Credit_Deviation_From_Trend_%,Mexico_DomCredit_PS,Peru_CreditGrowth_YoY_%,Peru_Credit_Deviation_From_Trend_%,Peru_DomCredit_PS,Poland_CreditGrowth_YoY_%,Poland_Credit_Deviation_From_Trend_%,Poland_DomCredit_PS,Qatar_CreditGrowth_YoY_%,Qatar_Credit_Deviation_From_Trend_%,Qatar_DomCredit_PS,South Africa_CreditGrowth_YoY_%,South Africa_Credit_Deviation_From_Trend_%,South Africa_DomCredit_PS,South Korea_CreditGrowth_YoY_%,South Korea_Credit_Deviation_From_Trend_%,South Korea_DomCredit_PS,Thailand_CreditGrowth_YoY_%,Thailand_Credit_Deviation_From_Trend_%,Thailand_DomCredit_PS,Turkey_CreditGrowth_YoY_%,Turkey_Credit_Deviation_From_Trend_%,Turkey_DomCredit_PS,UAE_CreditGrowth_YoY_%,UAE_Credit_Deviation_From_Trend_%,UAE_DomCredit_PS,United States_CreditGrowth_YoY_%,United States_Credit_Deviation_From_Trend_%,United States_DomCredit_PS
2020-11-01,12.197437197948457,22.50243094778687,5110343101860.42,4.879741458055276,18.64690395652532,179543166181824.0,7.01583589165975,17.54302052568521,523409849660428.2,3.868455774944435,13.321377223032856,3046353493350.84,14.145530890977831,31.104654243777308,18308293976889.3,4.01367490020923,13.11838495222003,80008994543474.7,-0.162045307652825,12.137801688848695,5083291330659888.0,5.212194720146468,11.182111385068412,41342772300.0,4.101743279604531,13.38874456771523,1892129215095.152,-2.0277441886886294,13.474149022640283,6864552573350.263,13.631472911541675,25.78168825718382,391242821837.8248,0.201297620620422,8.031041758189371,1171703286407.19,10.722323859250139,35.20357113506815,715601889000.0,1.1502555637160183,9.589848825300933,3430194099629.6,9.179930452456153,21.371566532894686,3183694027000000.0,4.032794402784368,9.95190366507549,19437542118722.6,39.41829982009495,58.35529834932572,3631093970000.0,-2.488933691295414,1.2661337908716284,1137568000000.0,4.3704172332102775,,
2020-12-01,12.669597714049585,24.702774641680424,5227500538769.48,3.9803331079544257,16.75007621285825,177615242691601.0,6.3762499724578925,15.98064413522568,519192729278972.9,4.06225323832039,12.189666736657498,3029734000000.0,15.489645084103621,30.570484802496438,18366170200000.0,3.98227895085157,14.164714592482659,80978474231124.6,-0.43686001936534824,12.607573627755727,5129115918464453.0,-94.83708979129997,-94.46051712940664,2030363100.0,3.9541719146023446,13.243255350841832,1898181918835.127,-4.4548818381204836,9.503428500935996,6665099711222.065,14.249421355448554,24.346352955134694,389352350206.1555,0.16253181373113712,7.004338292824815,1164123000000.0,12.976976084380443,36.56280753815131,729916475000.0,1.6855884623668826,9.689180928389561,3445770371875.3,9.429038363456566,20.67534680976135,3185433723000000.0,4.512361694664779,10.747412755791288,19646861149942.51,34.0662297088097,53.739639891224286,3579261890000.0,-2.646456681364895,0.32043414679552074,1128422000000.0,2.065683476053004,,11477358187938.68
2021-01-01,12.751199531960133,24.091087109832365,5227865520668.02,2.463708478402671,15.493031027615626,176601289896896.0,6.021234775843043,14.819203388505183,516817213162343.9,4.0060564829422995,12.091164485207862,3040891801084.42,13.983342658427933,29.578225706211192,18359304979417.0,3.1804022473724602,13.893096047883944,81006484485757.7,-0.4458886799983519,10.623583303793433,5062476824318631.0,-94.8475409329653,-94.36936706521662,2033885000.0,4.1606832134679195,12.959937000711022,1901950852899.572,-9.606548006201942,6.917610486058473,6541391666095.779,12.885805379260207,23.570314621678712,389398269220.8168,-0.37568659803912663,7.077108719204661,1168248348057.59,11.862324919693702,35.563427536480546,731791357000.0,1.5501752741433839,9.501337704805922,3452137918790.4,9.644289575175646,21.172729431995144,3218765255000000.0,4.452673733730639,10.293998842924001,19634375706929.44,31.85554044961174,50.274284346186626,3550139785000.0,-2.4633899697317996,0.3572672264304505,1130422000000.0,2.065683476053004,,
2021-02-01,14.71776094877779,25.056936094653654,5296082533011.18,2.831834513148368,16.192149320890856,178605921871747.0,4.8295647053323565,15.303294342820797,521778402368921.4,4.363722936185543,12.158795731951068,3056716393588.46,13.4368744631572,29.661120381793083,18508766027106.5,3.0461282271506462,14.06978216110048,81352269574539.1,-0.900716711567362,10.414167310378494,5076782779358174.0,-94.86945429710067,-94.28837287479,2032790100.0,3.8505924773856837,12.579403957493195,1903905631835.293,-7.735968318002595,8.530429661380627,6676462358806.724,9.293066639364266,20.569644585117803,382167970013.6373,-0.8506294791122304,6.658317910041073,1167019415306.35,10.931189755614866,34.6470541620441,733991916000.0,1.2586514713869734,9.630608116840662,3468235691288.8,10.020708033798641,21.66536560376329,3252578834000000.0,4.6331608740645125,10.300592636472096,19704513164974.55,29.36452299818473,50.081841367841015,3597917143000.0,-2.396761035993178,0.5025612759314022,1133524000000.0,2.065683476053004,,
2021-03-01,14.201141206498914,25.224952884155176,5332015412908.82,0.679941654001337,16.135230488811604,179475929282267.0,0.3781323655268176,14.750611912062023,522075655099467.5,3.319649240299416,12.369452217731753,3076263000000.0,11.125567370458178,30.795002946035737,18813300300000.0,6.14044098037545,16.530561401285095,83367268060898.2,-2.397106059066878,10.597938941039661,5109399594588703.0,-94.95748528815464,-94.23562816201223,2020615700.0,4.364660934149267,12.703034322660953,1914537560512.68,-10.302192902547535,6.73855183527414,6600876693533.119,10.277583924628587,22.491540813942997,390765302926.8231,-2.199857901115898,6.616971746041064,1170032000000.0,10.001979660933236,34.139914137042396,738395289000.0,-1.0454539971402443,9.307649979467323,3469500020898.7,9.57466100914164,21.69619444827066,3274715658000000.0,3.8540737242905854,10.56393382781196,19822790350788.55,28.31917478006398,53.648116320625306,3740675437000.0,-3.7600900026093953,-0.36958918558280235,1124905000000.0,-2.0206181366308695,,11453412047421.18
2021-04-01,15.068868577166427,25.69544683541538,5382194822242.07,0.39790401685604326,15.898605344457128,180071296469291.0,1.9560301729394602,15.590779144114611,528849048939844.0,3.585844376792924,12.532638698856424,3094661749296.29,12.517488525210108,30.80261454722464,18961526095477.1,6.190730512052656,15.289126014705158,82713319133122.4,-0.25944505717542254,10.343691526331495,5121855847409766.0,-94.91035998478382,-94.07174552971387,2046361700.0,4.383971015212063,12.305260410017027,1916282181376.159,-8.989350565141052,7.808393228422602,6703151937340.16,11.427578072676624,23.396212059105785,396282183294.0569,-2.399538341595553,6.535832821635829,1172385195738.94,9.713114711282023,33.39739240990744,741419438000.0,-0.5844003279250609,9.190310479752812,3478046704852.6,9.789284082348848,22.702790731369717,3323952530000000.0,3.1689988242385336,10.51324924878174,19885104077609.47,21.087703059189767,52.64763964178608,3773803661787.269,-2.6934385232520786,-0.07223583655945323,1129555000000.0,-2.0206181366308695,,
2021-05-01,16.56271957318678,27.107588648881986,5475368280915.55,0.11071251156908879,15.742912270919698,180803202840580.0,1.9009087682381631,15.012026963592403,528999548938453.6,4.0489028624870915,12.69033193057038,3113103295646.91,12.405188155871926,29.942355585197284,18984979651601.1,7.279554261011634,15.349186105981355,82988008502074.9,1.1982426703553095,10.479929163545068,5152249090751932.0,-94.92811800973973,-93.9971842747078,2040014200.0,4.004420085842253,12.115968392930156,1921493832596.282,-7.5402498358375425,7.597136859535573,6725183177037.325,5.935185428407408,24.013059353312904,400976790255.3319,-2.33576188164355,6.489615067832144,1175173405008.65,13.097205988352712,36.56888046048486,766902035000.0,0.5606990488524755,9.481295997313453,3500175738369.7,9.388674036891477,22.58025222665476,3342746845000000.0,3.2897710841472083,10.481101674909944,19950189292630.61,19.873337116516176,52.21477634192874,3820703780489.584,-2.859477828486501,-0.4128782959973665,1126832000000.0,-2.0206181366308695,,
2021-06-01,17.531548931852402,28.520305802409545,5571234040529.36,-0.2384357519715108,15.830994547673868,181910105568334.0,1.8344043513978336,15.614357502288348,534575657746641.1,4.398787292704132,12.587919297794176,3124283000000.0,12.793475715765346,30.717937559509252,19252239900000.0,5.756077801203441,15.286547560382981,83169975642781.0,2.4588155914997856,10.706836499092827,5186538728846455.0,-94.77435620533181,-93.67489738668506,2115080000.0,3.816247788138738,11.6380649445759,1921645275882.005,-7.958288908546751,7.536710583093484,6755696103116.126,5.589699352559707,24.280779283955557,404623607568.399,0.2990148543688509,6.278019347127525,1176023000000.0,13.157354893824547,36.61220673985857,775143671000.0,0.6738498614125454,8.787998574951311,3490213870902.1,10.289267695162296,22.738922020684452,3369650118000000.0,3.7201561847047815,10.417464549117733,20009944091144.1,18.705490156709836,51.96164318688326,3872880954677.832,-2.1738267633923947,0.11768334020242593,1133821000000.0,-2.9998305151006877,,11428021708975.74
2021-07-01,16.55654006659337,29.21058315772952,5638354904936.41,2.2310367234679385,16.622249220276533,184155616123626.0,3.4751926384588128,15.9832113776678,539115922311590.4,5.186765622168865,12.966635888999045,3148857859561.2,14.967082750669292,32.239761856902895,19642642780342.8,5.227940779530593,14.624770481239018,82905270816390.3,2.671313106931672,10.330825954374614,5192059843716853.0,-94.75121175423969,-93.52340454125971,2130524100.0,3.012276030274763,11.178241560663368,1921963622376.817,-7.247067174547494,6.570153330499208,6727250659299.658,7.0151104795215025,26.186719501346573,413801427497.1685,1.9548751345055182,7.007062968339326,1187460007309.55,13.00042106339927,35.753018308314964,778219507000.0,1.2763662923939156,8.997682228118173,3509251303018.3,11.318103794774736,23.62699236260347,3417375050000000.0,3.70429604335214,10.320695311353429,20064864665203.71,13.829880058010492,49.216948127200205,3859717658496.526,-1.7843109222217879,0.005259695208536598,1133522000000.0,-2.9998305151006877,,
2021-08-01,16.609568588489076,30.420225189808942,5731042571271.6,2.9382402377128525,16.877114471750836,185571707216848.0,5.959864820017713,16.917866582496853,546790037501605.2,5.6150350797855575,13.657061358875136,3182643026146.73,14.144277527171734,32.800133689317725,19897089446905.6,5.712518585024218,13.911970833745851,82587816833804.6,2.9190967068296603,10.010043968768533,5200301493650102.0,-94.7947204481575,-93.43651273878793,2123137700.0,2.5693677413230587,10.893484095422169,1925197169784.824,-7.116861272794361,6.4720367537416434,6753082162099.74,5.6910710930788255,25.060211868443794,413012127958.4818,2.169934228609516,7.12214582534524,1192160058577.93,12.53266484957165,35.00731818504569,781902794000.0,1.8208111977019659,9.05007738374918,3523540495251.9,11.340135025030973,23.782580636319143,3445257718000000.0,4.433574421695141,10.597891843834644,20189260583433.67,11.636443427000787,48.388976222578385,3895478953902.682,-1.1652603180069998,0.17603865051707904,1136388000000.0,-2.9998305151006877,,
