Date,Brazil,Chile,China,Colombia,Czech Republic,Greece,Hungary,India,Indonesia,Kuwait,Malaysia,Mexico,Peru,Philippines,Poland,Qatar,Saudi Arabia,South Africa,South Korea,Thailand,Turkey,UAE,United States
1977-04-01,5793152261.535688,574400957.7341572,,1594965645.191318,,885988963.9163013,,4055786871.332137,2277174486.112416,1985939806.725899,2541570901.62253,1656012602.07247,345228689.9182025,1465725195.558878,,,27802338737.9134,878819312.7806165,2143721670.569159,2006184837.897545,732294093.7616063,1824331907.813523,18867703970.22849
1977-05-01,5807809902.069778,663568655.0387034,,1629950956.7135,,894373720.7690598,,4353532354.847253,2196166306.485414,2361189969.605511,2715128970.342898,1450168914.549486,281810800.9273185,1428433329.083873,,,28286710471.13532,862650939.908583,2331107571.420316,2005237840.876367,745083268.917969,1876799430.964714,19194332614.03154
1977-06-01,5709255232.294842,555799904.4727359,,1646338824.695812,,908546613.0554572,,4481501192.545897,2070801358.049075,2231047919.286747,2723668391.811775,1604400655.029141,265914330.4791804,1532904585.368245,,172664276.1532578,28772672569.6045,869084424.858221,2390012639.18519,2016513273.495754,873083268.917969,1689963363.858109,19155733747.6895
1977-07-01,6145149124.814794,537102922.8181372,,1672704270.031868,,931878601.8550664,,4317831905.343153,2465425542.945889,2260747111.564633,2757424454.42855,1766783834.524828,290168120.7888072,1536942365.147241,,,28604627922.67734,877256080.7028759,2637552369.247762,2016874187.402184,878083268.917969,1568774562.260491,18926987005.46357
1977-08-01,6196594165.460158,501697043.075159,,1701303961.00399,,989562768.6942209,,4451379188.923915,2449435553.896578,2359848234.344736,2739107495.307105,1765383921.709073,274046270.7679324,1533076603.136018,,,28195869231.31134,828904002.7360626,2731095473.304281,1991825426.789391,827094887.7730604,1605526561.687894,19055547093.94141
1977-09-01,5986142940.702943,497187177.9202832,,1698470475.440655,,1024485870.100422,,4600100436.192984,2412071918.928506,2291163608.618209,2787335406.356935,1836882597.478092,277346979.9716543,1514106521.637218,,157225894.5480451,29411719917.02464,818498708.5405705,2915007958.588409,1924931642.416583,818094904.2661703,1388888491.04003,18988472112.70638
1977-10-01,6041620301.126448,463986819.5129996,,1699312463.267071,,1031101951.423851,,4782111534.267932,2862282978.684559,2520077700.884125,2854794943.011424,1915466752.058268,316820851.1150074,1536405140.090866,,,30438141069.33072,797223854.2342422,2962612571.696732,1905991787.312666,811880049.8950024,1388514120.36298,19047451168.63502
1977-11-01,5994753994.454277,454073025.5670551,,1741659866.181463,,1030601995.974667,,4990483691.701352,2822273207.9926,2628510643.325719,2882451470.723486,1887780909.195237,288124170.5906724,1520650540.832939,,,30904093966.10392,771806791.6795241,2893097971.658302,1863726018.408707,721118771.0363041,1441946361.027774,19155041877.68458
1977-12-01,7256021622.376246,484084043.6159369,2889000000.0,1820252951.902547,,1020093980.724374,,5107260426.188857,2515870606.010393,2995248565.779347,2857828810.303451,1928267113.427859,399126384.0202784,1524358923.307127,,169525479.8328864,30033771016.91732,746309735.9355657,2973295714.508765,1914729459.30437,791483971.9073112,872911672.7151217,19311498332.89743
1978-01-01,6757159425.0087,604706629.8075322,,1851295227.13655,,1170995585.882022,,5338797239.490099,2683707669.682164,3029929907.78267,2850898543.060974,2137849559.375762,331885835.6649336,1628196753.211817,,,28989610327.64933,730406077.3456187,2984799863.920725,1949755905.606294,844531714.4593594,853926225.6435869,19454830572.03733
1978-02-01,6861021210.281064,793439585.9456562,,1934479949.613562,,1160054920.081325,,5485966536.262953,2463646343.176527,3285246808.536392,2890517816.26721,1981000874.134014,295760634.6591547,1644020804.985366,,,28799231070.69584,738318036.6047955,2890616147.170986,2086981820.284819,857508865.9235748,896036632.2865081,19372980345.24094
1978-03-01,7271344488.650224,848384279.473157,3199000000.0,1983499468.386262,,1184588224.215555,,5733839736.022539,2309527386.613682,3204070464.031371,2868911580.542422,2003147382.456658,260786748.0542517,1820150973.283064,,181372251.153791,28726923219.36056,742665484.2968115,2650716215.295709,2160615418.958986,896509364.2708095,750164533.0183324,19191324438.4177
1978-04-01,7554437469.835015,943054683.8175025,,2032770966.316542,,1254002047.400223,,5974170813.545575,2510606685.772111,3299523964.598356,2869577659.873515,2014160314.851746,248126135.7674626,1825357528.217702,,,22630009432.5186,1911787921.75146,2337883913.714056,2138028445.412002,1074355092.274612,850212081.2620523,18842724383.34692
1978-05-01,7611648121.299448,936863897.330671,,2049670236.930688,,1272103009.32902,,6038315420.033333,2277212398.144893,3183234824.140878,2844877493.577119,1993073855.358071,240392018.6123637,1897001963.974044,,,22115560719.45524,2033412089.838289,2340585589.893367,2129009405.170974,967490932.2549866,792720311.1336719,18965237123.95702
1978-06-01,8112060687.694063,1011000535.620012,3167000000.0,2096745203.196422,,1274691930.170532,,6044239350.365941,2170127827.28117,3290956045.089849,2882665868.808031,1952501314.043396,256021919.5293519,1915114879.278986,,196593096.3191983,21070298672.20538,2045262027.238303,2441719153.189696,2161102533.687965,939491325.6881047,827882160.5488962,18863950130.24192
1978-07-01,8917987931.081951,968929055.003816,,2111409580.133809,,1335998371.016117,,6023002626.330241,2658610180.530011,3003642556.072039,2910337866.043079,2000007707.788458,277896181.5288216,1868700909.629981,,,21012466705.61082,2161532771.647527,2550916924.976588,2214955325.520895,965493089.810448,854241991.0156538,18832090239.92376
1978-08-01,9809175245.150814,993951213.7667445,,2091639217.347362,,1390788729.130101,,6253377426.230623,2503553148.273776,3034163463.28865,3007151256.519172,2078399744.490801,308181123.7741497,1883094548.25784,,,19229192204.1093,2211244590.590457,2590057809.159941,2295345406.123199,1134493308.832723,861654414.7737923,18782594747.84674
1978-09-01,10026477581.87609,1089185216.648584,2933000000.0,2114693569.218157,,1478096879.744894,,6424695558.674433,2403054695.561315,3001256594.369485,3067698946.328392,2083885428.378367,365930742.901786,1924532410.997351,,206152411.4399657,20439781856.97614,2341554202.874452,2633188777.907493,2267990520.213926,1308043603.636142,810538807.7123564,18849931344.03781
1978-10-01,10297280628.03885,1179910763.439946,,2197654725.642566,,1469418643.941807,,6706843626.507917,2891056400.484704,3185733199.001533,3329576077.298381,2075836013.187117,393731359.1186696,1835829163.38575,,,21352310379.44616,2610354670.929723,2528917097.201841,2481165859.757983,1256543289.535087,865869791.472886,18934684340.9769
