Date,Brazil_Broad_Money_M2,Brazil_M2_Growth_YoY_%,Chile_Broad_Money_M2,Chile_M2_Growth_YoY_%,Colombia_Broad_Money_M2,Colombia_M2_Growth_YoY_%,Czech Republic_Broad_Money_M2,Czech Republic_M2_Growth_YoY_%,Hungary_Broad_Money_M2,Hungary_M2_Growth_YoY_%,India_Broad_Money_M2,India_M2_Growth_YoY_%,Indonesia_Broad_Money_M2,Indonesia_M2_Growth_YoY_%,Kuwait_Broad_Money_M2,Kuwait_M2_Growth_YoY_%,Malaysia_Broad_Money_M2,Malaysia_M2_Growth_YoY_%,Mexico_Broad_Money_M2,Mexico_M2_Growth_YoY_%,Peru_Broad_Money_M2,Peru_M2_Growth_YoY_%,Philippines_Broad_Money_M2,Philippines_M2_Growth_YoY_%,Poland_Broad_Money_M2,Poland_M2_Growth_YoY_%,Qatar_Broad_Money_M2,Qatar_M2_Growth_YoY_%,South Africa_Broad_Money_M2,South Africa_M2_Growth_YoY_%,South Korea_Broad_Money_M2,South Korea_M2_Growth_YoY_%,Thailand_Broad_Money_M2,Thailand_M2_Growth_YoY_%,Turkey_Broad_Money_M2,Turkey_M2_Growth_YoY_%,UAE_Broad_Money_M2,UAE_M2_Growth_YoY_%,United States_Broad_Money_M2,United States_M2_Growth_YoY_%
2008-12-01,1899249423188.189,17.732281408521523,72415424081462.56,0.09043851759982235,165837415619273.6,18.577680131213302,2681989718647.17,13.341816500750125,15310793307861.6,8.863721537542602,,,1835814358344647.0,14.686898113912461,22331058373.2073,15.620744189539227,916733253273.6805,10.434485879149769,3139898975637.532,8.737014466076264,126122722851.3222,22.540703589325517,4446166349041.98,9.625371319099528,658436157107.513,18.203759323095014,185798486370.0569,20.114669931526908,1915448105696.342,14.452215089258825,1427582212822460.0,11.979809143810938,9865037105006.902,8.812680063974355,455606531803.4488,24.90739068352181,680561155388.5852,21.798800165387668,12342960263075.73,8.126750640105085
2009-01-01,1913871431503.916,17.397619212454863,72595845100895.6,16.607256211733468,168541749509816.1,19.467219252746816,2707910113656.69,13.756468074235473,15790081701407.2,11.332612078676796,,,1866127241118898.0,17.34762346402514,22941735596.87363,13.850428807966253,921487092598.2837,6.9881914128391065,3174390579156.447,8.998711426377582,126443667829.9751,18.772563427465382,4449929719611.538,15.479919092269823,667230874521.762,17.680649542197102,179902409759.1617,11.83398499657149,1928241741874.262,13.716664498522091,1448177227207193.0,11.50812539615309,9960521152311.93,9.34788464718659,463867232147.4389,24.988225691755627,682960503463.5719,14.287362180828733,,8.126750640105085
2009-02-01,1930341206738.287,16.826343580833125,72889593165446.45,15.934756533173022,170966228658422.4,19.26291010317318,2717869196610.95,13.232210355990826,15917375644112.1,8.59663665564765,,,1910043582081920.0,18.552702142925614,23842182662.68685,18.58596238382495,920156008151.444,6.2081693287356465,3194135404864.648,9.005198124582225,127347005717.301,17.06667676463207,4499928090804.557,15.358994108308078,677446991217.668,17.829004891237975,177955155645.1186,5.345288111524682,1933764651664.341,13.012186177805063,1468896466132659.0,11.877214575372385,10045038895104.38,9.4280756946171,472160755149.5183,24.979532826684903,690105444676.1774,12.894519615762,,8.126750640105085
2009-03-01,1950435881440.743,16.414682129410487,72326181151142.11,13.446951444588763,168854038765203.3,17.28775995453975,2715214898915.76,12.193727637806195,15867856947148.0,9.092608751466912,,,1931021912932855.0,19.9586686921694,24236201570.70605,22.207829057996232,927623254373.0563,6.150222308872766,3224171234477.765,9.993317378801315,126429177722.9292,15.450347842211842,4514968280075.871,13.707933268097182,681891879229.236,17.468312569644585,181759278302.3712,2.1315601224881187,1930977449419.824,10.715017898853052,1468398183772912.0,11.43445669160068,10058777190328.81,8.875138392738391,473470626842.938,19.012160476075344,676412557317.2175,9.286486068024713,13010987014056.41,9.708490444022267
2009-04-01,1994408714024.928,16.059584570911433,71224644244264.77,11.08577590545523,167870736098355.9,13.17912951565714,2703639822285.46,11.287205178142834,15957539868581.5,8.995951747749476,,,1944725052191501.0,18.53220455532092,24451316730.8206,20.382958033200804,932836754391.9781,6.284848336765991,3237533815165.087,8.30894747953057,125145826408.2141,7.890118068647478,4511180227482.296,12.141807002542016,680887980531.469,14.59719432384099,177582922790.4674,-4.954981987772933,1935585865959.226,8.890335537430193,1483266115180791.0,9.80550238782898,10122815487624.57,9.05593232486346,471220214082.1286,17.04438196864193,680639351776.6799,6.5940770134161,,9.708490444022267
2009-05-01,2024042992949.428,15.613836329870455,70610362846278.83,8.807773933356966,171329493413885.5,14.422755851665393,2709682257246.16,10.575209793517072,16098894374164.3,11.452765290786516,,,1952850502125083.0,17.299774627408947,24641483323.49057,18.065168659496635,929333351923.5677,4.493145479657623,3260114237191.433,8.560141081164495,126586180040.8627,7.764432171726532,4580518104651.76,12.487848706000326,683975754634.863,14.348390478397,183293833001.7552,-4.1375357145057805,1949521434583.215,8.002872010129924,1498296267925933.0,9.958753210766602,10151938139638.81,9.2226292004449,474673815678.3263,19.60581489564255,693235572420.5328,4.835798146727011,,9.708490444022267
2009-06-01,2041757759409.575,15.341253240331177,69339692858310.57,4.91326090806441,172966854764109.9,15.110513915681455,2686613382966.66,9.21389714795453,16076786950326.7,12.950962696267943,,,1966538278506238.0,16.001017136504704,24985141551.23723,21.643171888189915,938625785086.4875,5.125728196954205,3253783793341.284,8.534493331098702,126401496228.9829,5.4109143582783625,4587048487281.96,10.756073322328398,695421608749.357,14.426404606248845,187439388186.0777,-4.22051060181019,1944025301859.816,6.282343388674105,1503229704878604.0,10.287035324388171,10171938464454.64,9.005414612156049,476124254690.782,18.196448203744286,699441325170.4276,4.519236456572062,13059396797420.95,9.579037801259215
2009-07-01,2067791427558.079,14.65765185404393,69028401246845.48,1.5435683508443043,175697495238032.3,15.783884909159474,2673573854652.64,6.378491473838421,15937180050280.0,7.0805506016893505,,,1975789230232871.0,16.26573654812178,24827850290.38298,18.98320739033068,946504762284.2567,4.096236026742139,3288921823214.803,8.627484783082817,128463657195.0254,7.584829855005526,4606070606131.239,10.465489010785568,693346472684.6,11.932600163454389,195719404257.9394,3.2941217855303018,1946704911222.596,5.603054476857761,1508436578945169.0,9.534479363259774,10064273344195.59,8.000512158814743,481197269685.1017,17.849901483514596,713006228395.2789,5.078488008028126,,9.579037801259215
2009-08-01,2087620957800.729,13.664486307257118,69260308768099.47,0.6311936364858939,176824344742620.4,13.05626048180708,2668074555932.52,4.723424010279476,16078306498507.1,9.877743511162818,,,2000576178749080.0,18.586014780045446,24915890405.10112,18.86750860843913,959650249619.5498,5.906440295496673,3320622298843.379,9.386314796288842,127484988511.4421,3.948342270372951,4683934736621.797,10.794502564649623,685797345796.48,9.036119791278097,204019331949.9487,6.3196845235906185,1945869166547.259,5.40839115239915,1529183088427713.0,9.476151404977795,10182909900154.04,7.712175276094557,485672805890.6734,18.928498619397118,725967956375.4427,4.45301457991869,,9.579037801259215
2009-09-01,2133401961001.622,15.67404640240233,68085741459840.71,-2.829438312961541,175766525347961.3,10.196496584679027,2654689219912.38,3.1699486821230582,16063393939694.6,8.694327943832336,,,2015363417526324.0,13.683080513085311,24824323070.34044,14.49800196104485,960995919194.336,5.302080532271436,3372528039504.753,10.398618899880297,127635046136.302,2.3616749826632866,4716499951044.124,9.461701911207632,695531595246.734,9.592598835557432,206596787637.1745,6.71711925485674,1941417283769.385,3.889968299780966,1541570665672138.0,10.650395444435867,10218821304418.45,7.533957997336116,496032299337.7459,16.090969613463724,725948010141.5269,5.349470999857053,12991926667539.81,7.811786472583071
