Date,Brazil_Portfolio_Debt_Share_%,Brazil_Total_IIP_Liabilities,Brazil_Total_Liabilities_Growth_YoY_%,Chile_Portfolio_Debt_Share_%,Chile_Total_IIP_Liabilities,Chile_Total_Liabilities_Growth_YoY_%,China_Portfolio_Debt_Share_%,China_Total_IIP_Liabilities,China_Total_Liabilities_Growth_YoY_%,Colombia_Portfolio_Debt_Share_%,Colombia_Total_IIP_Liabilities,Colombia_Total_Liabilities_Growth_YoY_%,Czech Republic_Portfolio_Debt_Share_%,Czech Republic_Total_IIP_Liabilities,Czech Republic_Total_Liabilities_Growth_YoY_%,Greece_Portfolio_Debt_Share_%,Greece_Total_IIP_Liabilities,Greece_Total_Liabilities_Growth_YoY_%,Hungary_Portfolio_Debt_Share_%,Hungary_Total_IIP_Liabilities,Hungary_Total_Liabilities_Growth_YoY_%,India_Portfolio_Debt_Share_%,India_Total_IIP_Liabilities,India_Total_Liabilities_Growth_YoY_%,Indonesia_Portfolio_Debt_Share_%,Indonesia_Total_IIP_Liabilities,Indonesia_Total_Liabilities_Growth_YoY_%,Kuwait_Portfolio_Debt_Share_%,Kuwait_Total_IIP_Liabilities,Kuwait_Total_Liabilities_Growth_YoY_%,Malaysia_Portfolio_Debt_Share_%,Malaysia_Total_IIP_Liabilities,Malaysia_Total_Liabilities_Growth_YoY_%,Mexico_Portfolio_Debt_Share_%,Mexico_Total_IIP_Liabilities,Mexico_Total_Liabilities_Growth_YoY_%,Peru_Portfolio_Debt_Share_%,Peru_Total_IIP_Liabilities,Peru_Total_Liabilities_Growth_YoY_%,Philippines_Portfolio_Debt_Share_%,Philippines_Total_IIP_Liabilities,Philippines_Total_Liabilities_Growth_YoY_%,Poland_Portfolio_Debt_Share_%,Poland_Total_IIP_Liabilities,Poland_Total_Liabilities_Growth_YoY_%,Saudi Arabia_Portfolio_Debt_Share_%,Saudi Arabia_Total_IIP_Liabilities,Saudi Arabia_Total_Liabilities_Growth_YoY_%,South Africa_Portfolio_Debt_Share_%,South Africa_Total_IIP_Liabilities,South Africa_Total_Liabilities_Growth_YoY_%,South Korea_Portfolio_Debt_Share_%,South Korea_Total_IIP_Liabilities,South Korea_Total_Liabilities_Growth_YoY_%,Thailand_Portfolio_Debt_Share_%,Thailand_Total_IIP_Liabilities,Thailand_Total_Liabilities_Growth_YoY_%,Turkey_Portfolio_Debt_Share_%,Turkey_Total_IIP_Liabilities,Turkey_Total_Liabilities_Growth_YoY_%,United States_Portfolio_Debt_Share_%,United States_Total_IIP_Liabilities,United States_Total_Liabilities_Growth_YoY_%
2010-06-30 23:59:59.999999999,15.579028603009034,1043938899051.88,25.87655453371367,6.80282537218144,214066419884.779,17.854689611453246,,,,14.902601618070484,137483841750.017,13.247084079066518,11.270315151006146,217138062729.7465,-4.811185991118094,35.91196552441411,593933781638.8701,-8.029059869122147,9.183887801384829,446317385478.9638,-4.5475178729654,5.108750594048573,558749954717.987,24.96346993191112,,,,,,,,,,18.100877187826796,690619287529.217,22.475746957496902,9.51494385976419,95553135832.7568,18.477779209481216,,,,18.500840224439614,421316000000.0,7.292998334513268,,,,,,,21.7711554050023,730815600000.0,17.97258083887239,,,,10.268690828045012,476049000000.0,14.010058675607716,34.25038159208403,22978071000000.0,8.73476059450824
2010-09-30 23:59:59.999999999,15.347169796707488,1188671418095.89,23.663683440978332,7.508044363478095,246745401558.795,29.90805081059427,,,,14.83882916954247,147437946978.636,15.379333821773834,12.400532231812662,255506907073.509,4.0941519956327665,34.09380276018629,657921150004.2548,-6.752436994653765,9.65446005304208,476027968140.8853,-3.921863710724316,5.466817061950627,608346872041.6562,25.4859847330382,,,,,,,,,,18.940297929172516,737458310311.391,22.787903327917824,9.940902271511428,106342068854.393,24.170365479859647,,,,19.672786025475464,505663000000.0,14.873021606431713,,,,,,,21.667390125547264,795023300000.0,11.645804726397158,,,,10.127505469909211,556682000000.0,22.220368231776135,33.81943200754174,24713638000000.0,10.31342523426435
2010-12-31 23:59:59.999999999,13.79284780650665,1485388132257.35,43.52710391006176,8.088130625232537,256253307851.745,24.474364413262208,0.6724510095089649,2640566935490.44,,14.502079835071738,152465010865.442,16.12099848534003,12.480052980314365,248511759372.8334,4.460171111265776,31.96417225180425,615336765959.5746,-9.542878167912349,9.538018806068637,449024427759.9123,-9.625143433571415,5.226800317693192,631575186321.5063,23.46692243812598,,,,,,,,,,18.587249072201985,803338695539.375,24.169328681388013,11.188787136566432,114483093535.976,28.18292703446128,,,,18.60665421700522,524780000000.0,17.89894632787401,,,,,,,20.826650562272377,826441100000.0,13.644218603529978,,,,10.074522746944355,562647000000.0,21.01236692117432,34.28181060007572,24279619000000.0,10.091255202834315
2011-03-31 23:59:59.999999999,13.496770555978276,1581687535234.4,49.93134719280987,8.618251591543702,260910486017.283,23.579729639392966,0.802269470202904,2813845963829.26,,15.243754031294662,159769670505.907,20.0931686426995,12.204174690334069,266382482343.4063,14.722384387658405,30.21679214274739,659943362478.5453,2.1556907947218207,10.907065967370313,483213601718.2324,-1.4360926457628431,5.332052417859938,648961461249.897,17.97086225553748,,,,,,,,,,19.6950468796516,836745187573.416,20.10408033711364,11.1071349041818,116323954213.869,25.78336226787039,,,,18.695107086282835,575097000000.0,24.33185601556589,,,,,,,20.423387626839425,871012700000.0,15.582220024732374,,,,11.722214634095739,578389000000.0,20.239693989979845,33.97625347825329,24788304000000.0,10.059178060539352
2011-06-30 23:59:59.999999999,13.877814193526234,1628653661821.58,56.01043924129527,8.512938557701728,270217196778.66,26.230539532591845,0.9453740367095164,3004023284464.95,,15.441861470186256,164789291415.672,19.86084278565894,12.58687253720444,276886969427.1297,27.51655142642939,25.91914462522637,665032802557.2124,11.970866638054378,11.813156045831215,476532089471.5279,6.769779752168814,7.286814468983336,687330940353.1014,23.012258801884265,,,,,,,,,,20.671377761498064,859923638048.632,24.51485986224391,11.393306464183517,114428736335.799,19.754035635292453,,,,18.769202480651252,598230000000.0,41.990809748502315,,,,,,,20.72290855474913,900681000000.0,23.243264101094717,,,,12.345333234818558,581977000000.0,22.251490917951735,34.092524532629724,25233740000000.0,9.816616024904778
2011-09-30 23:59:59.999999999,14.900911195453832,1408751312516.93,18.514779700312967,9.118349421446501,261798954845.561,6.100844510846537,1.093132196845483,3101162441431.96,,15.684411127755387,171332626759.051,16.206600993892973,12.679385511000232,257285963668.1032,0.6962851278546456,23.989211326032514,614820414041.4854,-6.551048854789165,11.755016868544896,433581633976.2894,-8.916773174141202,7.835171814422753,672940568009.8088,10.617905497133817,,,,,,,,,,23.254305642816693,771835571975.267,4.661587127462186,11.4516022230607,117009227254.833,10.030986339983471,,,,20.09535950264526,522444000000.0,3.3186133848037036,,,,,,,23.160609168235265,817928400000.0,2.881060215467901,,,,12.376178945764261,531513000000.0,-4.5212527080092375,33.46381490311895,26435151000000.0,6.965842099006214
2011-12-31 23:59:59.999999999,15.22728669481813,1470929063980.05,-0.9734202100650013,9.28037900071167,280243544985.167,9.361922909226017,1.1511378382913542,3220300799186.58,21.954901271550774,15.743697866840876,178805867072.834,17.27665649834844,12.792893809385856,240625376128.3852,-3.1734446950723805,18.049786894665324,543766998872.4809,-11.6309915230704,9.91600815299789,432014228139.0851,-3.788257067814216,7.838329789964275,654948380361.4401,3.7007777610875703,,,,,,,,,,23.5482437854948,795376140183.549,-0.9911828472895734,11.537775252816022,120128840276.929,4.931511340736816,,,,20.107594354893504,500398000000.0,-4.646137429017871,,,,,,,22.98809043409242,838586400000.0,1.4695905128629283,,,,14.377751739118589,513766000000.0,-8.687685173830129,33.02301530385732,26664258000000.0,9.821566804652093
2012-03-31 23:59:59.999999999,14.919692686338545,1603159502834.25,1.3575353615382646,10.224316166277713,297176575182.413,13.89982047817262,1.315315264057178,3386144163570.9,20.338647072308834,15.657540611471832,185179684368.706,15.90415363713198,13.043615211989689,265689163652.0706,-0.2602718787048208,14.222297005857238,587732602073.878,-10.941963282040712,10.395057022994934,442728058806.8255,-8.378394723875038,8.065126985308956,696197401923.8259,7.278697348676566,,,,,,,,,,24.803629186252866,879253951585.755,5.08025198634432,11.999247977603025,137328006340.77,18.056514901723265,,,,21.42926968794013,552394000000.0,-3.9476818693194415,0.6597936632805979,146389200203.0189,,,,,22.637652345965705,892598300000.0,2.4782187446865,6.156288133002164,348241291567.252,,14.173950595957852,578900000000.0,0.0883488448085945,33.43582003679366,26822016000000.0,8.20432087649079
2012-06-30 23:59:59.999999999,16.214827876688354,1440259214455.45,-11.567496011117484,10.337496607997208,302626038337.295,11.99362658816332,1.57117959438413,3450039927618.17,14.847309788168307,15.664100422417594,189296586204.942,14.871897669279788,13.64454750338903,244442168852.2175,-11.717705835720427,11.324115224375225,592070856499.9532,-10.971180034534056,10.36991231528984,428863386928.0884,-10.003251322760631,7.859252649052208,674253313181.9833,-1.902668191308221,,,,,,,,,,25.258638385313382,883006496292.432,2.6842916303801756,12.396987245907539,140565469657.675,22.84105737668547,,,,21.862637118878474,518437000000.0,-13.338180967186531,0.6733284484843798,146694133532.7,,,,,23.181270588171028,878720600000.0,-2.4381995401257517,6.561046490374081,345516397755.985,,15.132905940028854,578078000000.0,-0.6699577474711171,33.75635415709732,26767319000000.0,6.077493863374994
2012-09-30 23:59:59.999999999,16.31555543391982,1483757797635.17,5.324324062863206,11.117804971293948,317887085529.787,21.424123223606138,1.7662387906471007,3468954201276.26,11.859803115456025,16.68276662746306,196583419179.013,14.737877366155594,13.792528395640074,258596241457.8588,0.5092690526428578,11.134182714865204,601605584490.4548,-2.1493804124302907,11.512268632046073,434614240372.4164,0.23815731922431915,7.564234960598452,729943083834.038,8.470661234291676,,,,,,,,,,26.6833831491833,944584164369.942,22.381527707071093,12.746975367009133,147292158418.09,25.88080604729075,,,,22.543546566608708,557277000000.0,6.667317454119481,0.9702271209200882,149463285664.3029,,,,,22.692333478452024,930732400000.0,13.791427220279907,7.279279568302191,379962299163.706,,16.90048736943126,611651000000.0,15.077335831861127,34.069278690367206,27313305000000.0,3.3219178509704683
