Date,Brazil_REER_Deviation_From_Trend_%,Brazil_REER_Index,Brazil_REER_YoY_%,Chile_REER_Deviation_From_Trend_%,Chile_REER_Index,Chile_REER_YoY_%,China_REER_Deviation_From_Trend_%,China_REER_Index,China_REER_YoY_%,Colombia_REER_Deviation_From_Trend_%,Colombia_REER_Index,Colombia_REER_YoY_%,Czech Republic_REER_Deviation_From_Trend_%,Czech Republic_REER_Index,Czech Republic_REER_YoY_%,Greece_REER_Deviation_From_Trend_%,Greece_REER_Index,Greece_REER_YoY_%,Hungary_REER_Deviation_From_Trend_%,Hungary_REER_Index,Hungary_REER_YoY_%,Malaysia_REER_Deviation_From_Trend_%,Malaysia_REER_Index,Malaysia_REER_YoY_%,Mexico_REER_Deviation_From_Trend_%,Mexico_REER_Index,Mexico_REER_YoY_%,Philippines_REER_Deviation_From_Trend_%,Philippines_REER_Index,Philippines_REER_YoY_%,Poland_REER_Deviation_From_Trend_%,Poland_REER_Index,Poland_REER_YoY_%,Saudi Arabia_REER_Deviation_From_Trend_%,Saudi Arabia_REER_Index,Saudi Arabia_REER_YoY_%,South Africa_REER_Deviation_From_Trend_%,South Africa_REER_Index,South Africa_REER_YoY_%,United States_REER_Deviation_From_Trend_%,United States_REER_Index,United States_REER_YoY_%
2001-02-01,-21.973790287814175,72.6033946638121,-4.512064989531717,-4.1832939405721135,105.0171620451035,-3.3891774990739476,2.2275906204893814,95.0142479722614,2.4094983577517493,-17.360338910007616,78.1215517908071,-7.848623728393134,7.554994177620164,69.7584188465358,3.3518064153815086,-5.675889625417487,85.96295857119205,-1.4243654326723365,5.00202135527885,75.01925405418359,2.5862225846581044,-5.259520306722009,101.2264683326941,4.523949339174904,13.424101903765004,115.5170662386826,2.609922581817159,-13.872166867187621,88.4048059288971,-8.77130296499853,17.60504628764131,99.77277422561346,11.676926075883397,1.2986820528857623,125.2405661931228,1.8134454160525948,-13.396982849461253,93.61211366071672,-9.743436807389772,9.239917076068641,124.020933184917,6.619272096209938
2001-03-01,-23.887164389991593,70.36236982221614,-9.4120737186406,-6.93209102104493,101.9486688837296,-7.934976862829979,3.6428648089114306,96.5349860770527,5.4506065520183,-17.09006932578796,78.18224738047056,-8.2041013755357,7.559104510110028,69.96148230637627,3.867627898117032,-5.460528129131146,86.05854638584886,-0.5911571612789435,5.035444038729695,75.18280743759897,3.492049180509915,-3.4705909190157356,102.827348188199,6.1821348273003895,15.112117326157268,117.9695594529324,2.8572532386556215,-12.280588877927734,89.67869873184547,-6.510901460215135,19.511482175434917,101.8658390890211,10.392720349496699,2.659923032147426,127.0949894067666,3.439775852885929,-12.163795165902139,94.57916241834232,-7.94600359220472,10.582342912698214,125.9537897918933,7.718303448600206
2001-04-01,-26.299691072275145,67.65870640548998,-12.325143636570669,-7.563340401872512,101.1615195814903,-9.036255091602508,4.739023798837355,97.76864367975423,7.261539223588875,-17.584982062158915,77.48284127023626,-7.994816564257734,6.757160621733915,69.62347306957778,5.722261318381161,-5.3263097715634,86.06341570093211,0.4330148113358634,4.407124811752707,74.85808825029909,3.4310666650183563,-1.9688833545303621,104.0964200099143,7.316409074050401,18.3244796485197,122.040531843392,6.402850686381711,-13.84004111913196,87.6881869760408,-8.509689491860396,22.489395413947065,104.9378777333574,15.795596957505719,3.561237161757208,128.4006204583137,4.290791852905396,-13.008797276835674,93.3901604761284,-8.575171561917083,10.994618119990227,126.8496763337829,8.04589128518809
2001-05-01,-28.553667348702582,65.10495777349986,-14.535651001795413,-7.687404492462048,100.903398350956,-8.902524105275644,4.280281792740066,97.54159450466827,4.972699844618744,-17.722379209864197,77.09014147591928,-7.003483654338083,6.835706459527476,69.85118862951767,7.243148519995457,-6.030045645051745,85.27707334478448,0.8125004197914398,7.506322292836419,77.24183790322735,7.254332521433793,-1.8844819320144848,103.8318813128057,5.165338648509565,20.463853770957304,125.0642965930035,9.19992553129585,-14.079520024421088,87.03907956016356,-9.559581692001451,25.758239155383812,108.3488061151716,21.420101728693595,3.2728219141527988,128.2237520604357,1.9289817564951628,-10.91687499938162,95.42138381578653,-3.977067027235903,10.449549327627631,126.6455144427932,5.449630065977784
2001-06-01,-29.360768718137052,63.88018547452725,-15.854291200796776,-8.43180186176399,99.9602019705866,-6.981874250813947,4.507369918119643,97.94919340291194,6.952057891952057,-15.287376624823851,79.12739815811402,-0.27322308252354377,7.98684466165486,70.80226247220445,6.193269122014611,-6.330227039916776,84.84471029826169,-0.558782559584492,12.136314742308047,80.79669730624195,10.671109698408587,-1.0581656855819455,104.3460818727534,6.74520717103686,20.85400379097234,126.3072294621503,13.797087523369767,-14.413961336384457,86.27235389311225,-7.581370921227171,27.65954770349481,110.6699350081341,25.23592293460599,3.913850292425701,129.2144821070699,4.548430491160227,-10.022397600051432,96.15039562342245,-3.0872620741033363,10.753982686191858,127.4252626328786,7.209595765785504
2001-07-01,-30.695005068936325,62.1727431447366,-19.61127315571184,-13.88371250139166,93.80639496592988,-10.590329769354401,4.898562433882361,98.5186855019121,7.146348800494473,-14.26127000816171,79.82497475521652,2.322988380346258,9.036398798532103,71.68195922085522,6.740526063031438,-5.435607627317419,85.48897712866403,0.23452905628158494,11.606691471924293,80.64625666545578,9.779368391317945,-0.3200860832884068,104.7608057236078,6.459050499885621,19.626079607523902,125.8345336010322,8.919454064660748,-15.966204776826535,84.25460654000904,-7.064487956819299,20.034673693928173,104.579158735605,14.0166477237893,3.4441042499903096,128.8230935101025,3.973980171252456,-11.359159603527623,94.49141079067797,-6.144563801979929,10.630257779807764,127.7217384895621,7.379383105675741
2001-08-01,-31.248056613975212,61.16520344251558,-22.2279238355629,-16.672303953349584,90.53838603235057,-13.371047815413172,2.5926813805223254,96.52028320550296,4.115007397511206,-13.871286066136449,79.89203839809238,2.3945578410125234,9.084783664248059,71.89367145465769,6.869926874029764,-3.7745776192465157,86.85115145734368,2.9101792219226486,12.025579774667062,81.19450178932291,10.403411340349567,-1.9021258659093574,102.7204708250022,4.0142740368677154,19.44793767345074,126.4136892665477,6.304272459720406,-14.886671553717187,84.89118244457516,-5.884385128166391,13.673770814993652,99.43767096117345,6.062911700267715,0.8237870941410387,125.7041673130885,0.3769608777565381,-14.826700125538395,90.56489069721572,-11.261071120916178,8.377126838464882,125.5294607950798,4.854904998827259
2001-09-01,-35.38698113709602,56.94282742944283,-27.577309185736265,-16.876215934729473,90.07541786150578,-12.600687163181579,1.3183565696676736,95.45729296906985,2.1787232448960525,-14.4680291198558,79.00744186703224,1.3941168115215952,8.09239575151648,71.3970393010401,7.06362751308407,-3.296735418639733,87.1463765341721,4.6677046524218335,10.083561234645924,80.00154609727184,9.776639540943899,-1.9236175113393321,102.305737829653,2.9982949111411195,16.013662835843622,123.4411851035876,3.841319018081135,-13.443128910530481,85.8859399336338,-3.5663103145514574,12.757137986615232,99.02426127890959,5.3120052848870225,0.17422695741386138,125.0177120999352,-1.1447047637261787,-17.972807148919383,86.92020292729295,-14.084808477542044,8.4101340777553,125.9763789445491,4.076243400417834
2001-10-01,-35.53173215582576,56.25731024453462,-27.50736565820614,-19.30944258609662,87.1707620142459,-16.320641277987402,2.1273958567547417,96.35916572224211,2.056929912902472,-13.06237451354029,79.92678871208696,-0.12261864198952477,10.058659160942698,72.89232349840901,8.371090166355799,-3.0731543060172073,87.20427839470646,4.565549582934159,10.26476548074672,80.34883978878177,10.387285464893647,-0.6470906251440455,103.2515902357043,2.5009348611713555,16.39663562091562,124.5365561625138,6.090157561710008,-12.877714868216447,85.9882815822803,-0.04661301439800036,15.148229629642849,101.5618112768795,9.48513953334189,0.8068453344534732,125.9442230895366,-1.2481457184630562,-22.642983560094418,81.62850517784624,-17.051202181219637,8.488849456318494,126.4782571012167,2.8111338709807088
2001-11-01,-37.49331423299015,53.98284803716139,-28.13913590221183,-18.523483235060535,87.77285803313896,-15.387927985627837,2.3283735272986306,96.6984507402238,1.7796292381515144,-12.314929527116687,80.19955172682376,-2.2027668337931017,10.060282231453197,73.08800806501417,7.032057061129748,-3.5005933904546676,86.67097326410034,3.605443260501895,11.254951491828393,81.30820988897707,11.453242087173553,0.8661598236346898,104.4765846157815,3.5204161052617478,17.737310244458847,126.7452889211519,7.518388524237851,-12.261221970611203,86.13889491040526,2.3061976160768882,17.54001153001666,104.1627126468258,10.271905660468539,1.2559537669222516,126.674781486601,-0.781372911479461,-24.972666446320556,78.82925482277608,-18.25066365359835,8.983370982810989,127.4911574192165,2.9425874228748983
2001-12-01,-26.434749618501556,62.97287260136621,-14.798234159035594,-16.69847261017899,89.500601346253,-13.027497149692735,3.101564329442431,97.5820394317593,2.767737351066679,-11.886606423147088,80.15585639355528,0.46873749640263807,12.312594270936954,74.80837639017795,9.400410931902513,-2.751717238687376,87.20611048271572,3.0835130446739356,13.218003115808049,83.01277549589372,12.449104163864334,1.8458425737013735,105.1409658306346,4.166749094292421,17.97860734878463,127.7440980316912,7.043211162040119,-10.407913605401461,87.49176167613118,3.156796498536152,18.92998535900231,105.9028219737926,9.837946046298818,1.63156123850364,127.3099458524533,0.8812517445131895,-35.77900434439377,67.0418280137805,-29.78703720767798,8.518109531721372,127.3656802867758,3.6903227938579253
2002-01-01,-6.350556959233384,79.69020872783689,8.01020838963149,-15.309486737688077,90.74868877561067,-12.095637532788327,3.8126505294451474,98.40019805724694,3.2806282179241197,-9.845394689327632,81.60818760031061,5.259868172850624,13.531424737839759,75.8488008203301,9.834817040680012,-2.3093997298990256,87.46069173580764,1.9042737793268039,14.449026978728375,84.1763793984485,11.979468733283616,3.218843519592257,106.1647408372022,4.98848152616429,18.338648089135006,128.8558588504882,12.196412215407548,-8.257307493432341,89.11917858472592,6.7242763685457785,18.001915188709937,105.5585338126949,7.779386294357438,2.480721530550479,128.5411886774359,3.0824783644904485,-34.38934632037445,68.02264910143921,-26.762162401292066,8.95294849924216,128.293284054352,4.069226871389264
