Date,Brazil_CPI_Index,Brazil_Inflation_MoM_%,Brazil_Inflation_YoY_%,Chile_CPI_Index,Chile_Inflation_MoM_%,Chile_Inflation_YoY_%,China_CPI_Index,China_Inflation_MoM_%,China_Inflation_YoY_%,Colombia_CPI_Index,Colombia_Inflation_MoM_%,Colombia_Inflation_YoY_%,Czech Republic_CPI_Index,Czech Republic_Inflation_MoM_%,Czech Republic_Inflation_YoY_%,Greece_CPI_Index,Greece_Inflation_MoM_%,Greece_Inflation_YoY_%,Hungary_CPI_Index,Hungary_Inflation_MoM_%,Hungary_Inflation_YoY_%,India_CPI_Index,India_Inflation_MoM_%,India_Inflation_YoY_%,Indonesia_CPI_Index,Indonesia_Inflation_MoM_%,Indonesia_Inflation_YoY_%,Kuwait_CPI_Index,Kuwait_Inflation_MoM_%,Kuwait_Inflation_YoY_%,Malaysia_CPI_Index,Malaysia_Inflation_MoM_%,Malaysia_Inflation_YoY_%,Mexico_CPI_Index,Mexico_Inflation_MoM_%,Mexico_Inflation_YoY_%,Peru_CPI_Index,Peru_Inflation_MoM_%,Peru_Inflation_YoY_%,Philippines_CPI_Index,Philippines_Inflation_MoM_%,Philippines_Inflation_YoY_%,Poland_CPI_Index,Poland_Inflation_MoM_%,Poland_Inflation_YoY_%,Qatar_CPI_Index,Qatar_Inflation_MoM_%,Qatar_Inflation_YoY_%,Saudi Arabia_CPI_Index,Saudi Arabia_Inflation_MoM_%,Saudi Arabia_Inflation_YoY_%,South Africa_CPI_Index,South Africa_Inflation_MoM_%,South Africa_Inflation_YoY_%,South Korea_CPI_Index,South Korea_Inflation_MoM_%,South Korea_Inflation_YoY_%,Thailand_CPI_Index,Thailand_Inflation_MoM_%,Thailand_Inflation_YoY_%,Turkey_CPI_Index,Turkey_Inflation_MoM_%,Turkey_Inflation_YoY_%,UAE_CPI_Index,UAE_Inflation_MoM_%,UAE_Inflation_YoY_%,United States_CPI_Index,United States_Inflation_MoM_%,United States_Inflation_YoY_%
2007-12-01,2731.62,0.7401670631188795,4.457658553373722,54.91747154868295,0.45721142094341527,7.823128597755469,74.32883,0.9999876346783898,6.578719079425266,64.82166,0.4868885175974613,5.690217546376863,87.3,0.4602991944764101,5.434782608695654,92.24516,0.4145241963259716,3.8830538648100266,107.4,0.37383177570093906,7.400000000000007,63.88329504789973,0.0,5.511811023622015,52.44356,1.0962141613767074,6.583416388506347,,,,94.04363957597172,0.2808988764045006,2.390057361376652,65.04906,0.41345315818379635,3.7590509347062984,,,,,,,104.3,0.28846153846153744,3.884462151394419,,,,63.93281992946055,0.6392836562657322,6.47344809879522,41.22602,0.7064052818927857,7.568316911251882,79.101,0.37815819194702005,3.6058573898464896,,,,145.77,0.22000687521486206,8.387240687039931,,,,96.32226657892141,-0.0670863129647925,4.081268582755193
2008-01-01,2746.37,0.5399726169818653,4.561479653996092,54.89748007336301,-0.036402759916231986,7.455077287868805,75.22079,1.2000188890367358,7.1079214176144045,65.50569,1.0552491250609863,5.997291235837254,89.9,2.978235967926701,7.535885167464129,91.992,-0.2744425832206243,3.89642071680536,108.4,0.9310986964618184,7.114624505928857,63.88329504789973,0.0,5.511811023622015,53.37271,1.7717142009428866,7.363900485134667,,,,94.39487632508833,0.37348272642390157,2.283539486203612,65.35056,0.4634963210844223,3.7043643214975885,,,,,,,105.0,0.6711409395973256,4.166666666666674,,,,64.80304286392287,1.3611521209645927,6.992339777435497,41.8,1.3922760431397396,8.273746077343214,79.472,0.46902061920834903,3.8903994980129752,,,,146.94,0.8026342868902914,8.171378091872782,83.02729036503567,,,96.80104377096656,0.4970576472604682,4.280294047901356
2008-02-01,2759.83,0.4901014794073566,4.613512652949825,55.11861411291373,0.402812732488278,8.07079537798112,77.17652,2.5999859879163756,8.804665249144028,66.49683,1.5130593998780917,6.351876760287434,90.2,0.33370411568409697,7.637231503579955,91.29514,-0.7575223932515862,4.436296530677186,109.6,1.1070110701106861,6.926829268292667,64.36003605571987,0.746268656716409,5.468749999999978,53.72305,0.6564028695563717,7.399510092521866,,,,94.74611307420494,0.37209302325582616,2.6641294005708804,65.54484,0.2972889597273376,3.722744920864618,,,,,,,105.4,0.3809523809523929,4.2532146389713255,,,,65.44120803498771,0.9847765519358287,8.67051723763872,41.9,0.23923444976077235,8.6684484142576,79.771,0.37623313871553155,3.575833906799808,,,,148.84,1.2930447801823952,9.104236915408315,83.4835354281608,0.5495121677694392,,97.08216486169805,0.29041121849535667,4.026555413048727
2008-03-01,2773.08,0.48010203527029116,4.7283109506472965,55.57794349254255,0.833347113350591,8.508433283826866,76.63628,-0.7000056493866258,8.36814036957254,67.03427,0.8082189782580684,5.922580155832025,90.1,-0.11086474501109667,7.13436385255648,93.39295,2.297833159574525,4.434180644738528,110.2,0.5474452554744547,6.679574056147142,65.31351807136016,1.4814814814814836,7.874015748031438,54.23586,0.9545437200605633,8.17216962786651,,,,94.74611307420494,0.0,2.761904761904743,66.01989,0.7247710117226802,4.24888333343072,,,,,,,105.8,0.3795066413662118,4.133858267716528,,,,66.25342285032245,1.2411366472643515,9.596933933785712,42.5,1.4319809069212486,9.465747909912526,80.515,0.932669767208627,3.938603738510804,,,,150.27,0.9607632356893436,9.152320767051659,83.92115824381143,0.5242025429399888,,97.92369373852068,0.8668212930989627,3.981456231251679
2008-04-01,2788.33,0.5499300416865083,5.041627425127149,55.79084441885864,0.3830672978115013,8.30108764583304,76.71292,0.10000485409782378,8.585101236076342,67.5089,0.7080408274752426,5.728027874691066,90.4,0.33296337402886067,6.729634002361284,93.98469,0.6336024293054354,4.434674137406858,110.6,0.3629764065335772,6.653809064609439,65.7902590791803,0.7299270072992581,7.812499999999956,54.54557,0.5710428487720076,8.966417039057095,,,,95.0095406360424,0.2780352177942591,3.0476190476190324,66.17013,0.2275677829817635,4.548556365338752,,,,,,,106.2,0.3780718336483968,4.015670910871694,,,,66.83357990225971,0.875663515903069,10.450633245709717,42.8,0.7058823529411784,9.313231958080914,80.962,0.5551760541514073,4.116459407672246,,,,152.79,1.676981433419833,9.660518194215161,85.04780421601836,1.3425052701653062,,98.51757924014757,0.6064778389719416,3.9368897748275122
2008-05-01,2810.36,0.7900786492273326,5.576029422261297,56.43484260366597,1.154308007909699,8.875015367570494,76.40607,-0.3999978100168722,7.8272710478976215,68.13708,0.9305143469972021,6.38620973283488,90.8,0.4424778761061843,6.823529411764695,94.64483,0.7023909958100649,4.909663577953038,111.8,1.0849909584086825,6.985645933014362,66.26700008700044,0.7246376811594013,7.751937984496049,55.31224,1.4055586915674434,10.38604614033689,,,,95.79982332155477,0.8317929759704246,3.8058991436726863,66.09863,-0.10805479753478453,4.947562443109232,,,,,,,107.0,0.7532956685499137,4.2884990253411415,,,,66.71754680607978,-0.17361496473722315,10.364691437139761,43.1,0.7009345794392718,9.576670491256877,81.63,0.8250784318569071,4.874351199958893,,,,155.07,1.4922442568230831,10.740555595229594,85.91373872358238,1.0181738559229325,,99.34718454705337,0.8420886031756281,4.17554304180352
2008-06-01,2831.16,0.740118703653625,6.060583356434823,57.27527548832013,1.4892092294053194,9.474142810062913,76.25326,-0.1999971991754057,7.18288610579827,68.73037,0.87073000486666,7.184069909899127,91.0,0.22026431718062955,6.8075117370892,94.55009,-0.10010055488504088,4.910401276632426,111.9,0.08944543828266482,6.673021925643474,66.74374109482059,0.7194244604316724,7.692307692307643,55.89106,1.0464591562374004,11.281841354008915,,,,99.5756183745583,3.9413382218148607,7.692307692307687,66.37217,0.4138361112779432,5.255464914379848,,,,,,,107.2,0.18691588785046953,4.483430799220289,,,,67.00762111756723,0.43477964249880596,10.632184068006278,43.7,1.39211136890951,10.315621323075575,82.151,0.6382457429866539,5.5437072819774835,,,,154.51,-0.3611272328625792,10.609206099219692,86.67725087003669,0.888696217622198,,100.3483058212244,1.0076996934894167,5.021790047611718
2008-07-01,2846.16,0.5298181664052937,6.367091587904872,57.92279892197815,1.1305461704676834,9.476224515843557,76.32951,0.09999572477294993,6.333064097531138,69.05842,0.4772999185076454,7.520102484291202,91.5,0.5494505494505475,6.892523364485981,93.81598,-0.7764244328059333,4.883906696054496,111.9,0.0,6.673021925643474,68.17396411828102,2.142857142857113,8.333333333333282,56.65773,1.3717220607374347,12.004403653474615,,,,100.7171378091873,1.1463844797178435,8.514664143803241,66.74206,0.5572968308855897,5.394403562517747,,,,,,,107.2,0.0,4.789833822091882,,,,68.05189369629943,1.558438519851335,11.079544750990799,44.4,1.6018306636155444,11.123986588035596,82.747,0.7254932989251506,5.903959863823682,,,,155.4,0.5760144974435333,12.064613831398297,87.6642299861849,1.1386829949511013,,100.8752358917798,0.5251011128121652,5.600122900253934
2008-08-01,2854.13,0.2800264215645054,6.165817949166241,58.45975910215232,0.9270273366752457,9.30524032689104,76.25318,-0.10000064195354597,4.967140804690651,69.19104,0.19204030442632192,7.8672537151206035,91.4,-0.10928961748633004,6.402793946449359,92.93456,-0.9395201116057073,4.6716778509581225,111.6,-0.2680965147453196,6.488549618320616,69.1274461339213,1.3986013986013734,9.022556390977376,56.94714,0.510804086220884,11.746533966471207,,,,100.8927561837456,0.17436791630338622,8.498583569405138,67.12749,0.5774919143940016,5.57292715148463,,,,,,,106.8,-0.3731343283582156,4.80863591756624,,,,68.39999298483922,0.511520355470596,10.912507361818191,44.7,0.6756756756756799,11.16775886295529,82.598,-0.18006695106771442,5.6132364975450155,,,,155.02,-0.24453024453023886,11.766402307137724,88.00874156446307,0.3929899097185441,,100.4725861076652,-0.39915622556419006,5.371855115262281
2008-09-01,2861.55,0.25997414273351005,6.250533749689047,59.08317827016459,1.0664073502644866,9.232468652529846,76.25318,0.0,4.653173260685328,69.05842,-0.19167221651821276,7.578557822383214,91.2,-0.2188183807439903,6.542056074766367,94.75181,1.9554081926034916,4.634588762448799,111.6,0.0,5.781990521327018,69.60418714174145,0.6896551724137945,9.774436090225503,57.50057,0.9718310700063348,11.92924195455718,,,,100.7171378091873,-0.17406440382941035,8.207547169811358,67.58494,0.6814644790085422,5.473400968917286,,,,,,,107.1,0.2808988764045006,4.284323271665036,,,,68.6320507482367,0.3392657707566027,10.34418831564825,44.9,0.4474272930648615,11.035988024929445,82.673,0.09080123005400509,5.1083847180726005,,,,155.72,0.45155463811119567,11.125383572397052,88.56740898869792,0.6347862886161737,,100.3336306582498,-0.13830185406642492,4.936927430572169
